problem,dim,method,seed,budget,success,first_feasible,best_f,final_ncv,declared_cost,elapsed_sec
CantileverBeam,5,DCAS-CMA,22,400,1,1,4.326041161350359,0.0,400.60221111270647,0.1695502279999345
CantileverBeam,5,DCAS-CMA,23,400,1,1,5.30714310188741,0.0,399.3429138525456,0.1728834200002893
CantileverBeam,5,DCAS-CMA,24,400,1,1,6.043681536388691,0.0,402.0237015828827,0.1761914260005141
CantileverBeam,5,DCAS-CMA,25,400,1,2,5.564031486363615,0.0,398.2571444344722,0.1953536999990319
CantileverBeam,5,DCAS-CMA,26,400,1,1,5.769533459635209,0.0,398.731350491824,0.3109656750002614
CantileverBeam,5,DCAS-CMA,27,400,1,1,5.049503428978703,0.0,399.1927161339988,0.3851977769991208
CantileverBeam,5,DCAS-CMA,28,400,1,1,4.672474254035344,0.0,397.2458654112485,0.4004944529988279
CantileverBeam,5,DCAS-CMA,29,400,1,1,4.994048787132517,0.0,399.45523869710127,0.383510824998666
CantileverBeam,5,DCAS-DE,0,400,1,2,2.0843023106650898,0.0,394.862528410627,0.3972918060007941
CantileverBeam,5,DCAS-DE,1,400,1,1,2.938077041579546,0.0,397.33461401778425,0.3444067139989784
CantileverBeam,5,DCAS-DE,2,400,1,1,2.7068829709052378,0.0,398.1060464346084,0.1809028540010331
CantileverBeam,5,DCAS-DE,3,400,1,1,2.828413579220754,0.0,393.5274238131065,0.1783854440000141
CantileverBeam,5,DCAS-DE,4,400,1,1,4.4024334180429054,0.0,397.5826496573413,0.1908162680010718
CantileverBeam,5,DCAS-DE,5,400,1,1,2.597175612232184,0.0,398.1720623331077,0.1903527890008263
CantileverBeam,5,DCAS-DE,6,400,1,1,2.461295546930176,0.0,395.9857375172553,0.3180646500004513
CantileverBeam,5,DCAS-DE,7,400,1,1,2.688754391331631,0.0,397.6957233868372,0.4179696470000635
CantileverBeam,5,DCAS-DE,8,400,1,1,1.972341983977865,0.0,395.7548218880375,0.3684868860000279
CantileverBeam,5,DCAS-DE,9,400,1,1,4.166359236144803,0.0,402.0134589503173,0.3702821799997764
CantileverBeam,5,DCAS-DE,10,400,1,1,2.48828604563594,0.0,397.95899715500735,0.3595977050008514
CantileverBeam,5,DCAS-DE,11,400,1,1,3.0972020309318062,0.0,395.3175749606916,0.194400858001245
CantileverBeam,5,DCAS-DE,12,400,1,1,3.472545811505516,0.0,402.5420328785111,0.1786222629998519
CantileverBeam,5,DCAS-DE,13,400,1,1,3.4439226869418302,0.0,399.3324202540532,0.173749546000181
CantileverBeam,5,DCAS-DE,14,400,1,1,2.634866532441282,0.0,399.8015703863757,0.1947000059990387
CantileverBeam,5,DCAS-DE,15,400,1,1,3.728639334712847,0.0,396.070229487092,0.1791045459995075
CantileverBeam,5,DCAS-DE,16,400,1,1,2.861249291464847,0.0,396.0343637888704,0.1852707369998825
CantileverBeam,5,DCAS-DE,17,400,1,1,2.619996919164859,0.0,396.0239299129159,0.1817455380005412
