problem,dim,method,seed,budget,kappa,success,first_feasible,best_f,final_ncv,declared_cost,structural_gain,allocation_sd,rcd,action_entropy,action_counts
Annulus10,10,DCAS,23,400,1.0,1,160,0.1207536590857971,0.0,406.4026539131596,76.55854906842728,0.0451590560489564,0.2846140917905623,1.5858592618975589,"{""rand1"": 57, ""pbest"": 72, ""closure"": 54, ""local"": 80, ""consensus"": 97}"
Annulus10,10,DCAS,24,400,1.0,1,127,-0.1223321855453732,0.0,399.98360043975936,78.81522887075245,0.0349323931519933,0.2408258408258407,1.5978500843041932,"{""rand1"": 64, ""pbest"": 64, ""closure"": 67, ""local"": 94, ""consensus"": 71}"
Annulus10,10,DCAS,25,400,1.0,1,120,0.1091488985789636,0.0,405.362437193874,72.47446855389033,0.0579720813241809,0.1921848739495798,1.5599809899836208,"{""rand1"": 46, ""pbest"": 53, ""closure"": 63, ""local"": 98, ""consensus"": 100}"
Annulus10,10,DCAS,26,400,1.0,1,92,0.0577713318656891,0.0,401.5925875448822,70.86093280520132,0.0373893703272976,0.0,1.5953055382439951,"{""rand1"": 53, ""pbest"": 71, ""closure"": 72, ""local"": 73, ""consensus"": 91}"
Annulus10,10,DCAS,27,400,1.0,1,127,-0.0085276598784472,0.0,396.8986905271647,77.520049065899,0.0613703925028441,0.164047619047619,1.5623256272243695,"{""rand1"": 60, ""pbest"": 58, ""closure"": 60, ""local"": 119, ""consensus"": 63}"
Annulus10,10,DCAS,28,400,1.0,1,83,-0.0214499863044011,0.0,403.51458307771065,68.80670148050302,0.0433599341214578,0.2637362637362637,1.5810971349047969,"{""rand1"": 52, ""pbest"": 56, ""closure"": 71, ""local"": 99, ""consensus"": 82}"
Annulus10,10,DCAS,29,400,1.0,1,84,-0.2322072577490647,0.0,402.5997370106168,74.19875350057585,0.0373576854285186,0.1743476337903582,1.594604900825364,"{""rand1"": 54, ""pbest"": 62, ""closure"": 78, ""local"": 78, ""consensus"": 88}"
Annulus10,10,DCAS-noClosure,0,400,1.0,1,127,-0.0184515687330827,0.0,415.4110591731192,70.1970479762875,0.1201712791104113,0.3198097554619293,1.3519255653052318,"{""rand1"": 62, ""pbest"": 76, ""closure"": 0, ""local"": 97, ""consensus"": 125}"
Annulus10,10,DCAS-noClosure,1,400,1.0,1,134,0.1496143526313818,0.0,412.1828350622277,61.072932973632255,0.1132507540597616,0.6894050033806625,1.3686210687770943,"{""rand1"": 69, ""pbest"": 78, ""closure"": 0, ""local"": 107, ""consensus"": 106}"
Annulus10,10,DCAS-noClosure,2,400,1.0,1,82,-0.1010474001488701,0.0,410.2109904567024,73.90089622044391,0.1138741142660013,0.2448351648351648,1.3625134535848662,"{""rand1"": 64, ""pbest"": 79, ""closure"": 0, ""local"": 112, ""consensus"": 105}"
Annulus10,10,DCAS-noClosure,3,400,1.0,1,91,-0.2122447999825903,0.0,411.22049574085673,67.16117257831512,0.119041255814284,0.1915151515151515,1.3559728712542003,"{""rand1"": 67, ""pbest"": 69, ""closure"": 0, ""local"": 110, ""consensus"": 114}"
Annulus10,10,DCAS-noClosure,4,400,1.0,1,164,0.1338105222948076,0.0,415.9306654012471,69.22535694229992,0.1235104598679942,0.5861587301587302,1.347462789275225,"{""rand1"": 63, ""pbest"": 70, ""closure"": 0, ""local"": 101, ""consensus"": 126}"
Annulus10,10,DCAS-noClosure,5,400,1.0,1,142,0.2266653362988239,0.0,412.3897774717532,58.80088830685189,0.1278168294047886,0.2707071820185424,1.3367457470509965,"{""rand1"": 53, ""pbest"": 75, ""closure"": 0, ""local"": 125, ""consensus"": 107}"
Annulus10,10,DCAS-noClosure,6,400,1.0,1,138,-0.0311634409463937,0.0,413.2723610521751,67.14686477538748,0.124892369680733,0.4972222222222221,1.349445773897342,"{""rand1"": 59, ""pbest"": 74, ""closure"": 0, ""local"": 113, ""consensus"": 114}"
Annulus10,10,DCAS-noClosure,7,400,1.0,1,112,-0.0055450060334148,0.0,410.7410072368882,64.33841660691873,0.1180756176249919,0.7458757616652354,1.357587004009834,"{""rand1"": 64, ""pbest"": 74, ""closure"": 0, ""local"": 114, ""consensus"": 108}"
Annulus10,10,DCAS-noClosure,8,400,1.0,1,46,0.192036694999641,0.0,409.6386468418811,60.05594969310263,0.1111878030161954,0.2067532467532467,1.3636588854520164,"{""rand1"": 64, ""pbest"": 80, ""closure"": 0, ""local"": 107, ""consensus"": 109}"
Annulus10,10,DCAS-noClosure,9,400,1.0,1,157,0.4604141529639121,0.0,406.161764591788,68.57768694995286,0.1299130229852175,0.3882692434899565,1.3477615806092742,"{""rand1"": 61, ""pbest"": 85, ""closure"": 0, ""local"": 131, ""consensus"": 83}"
Annulus10,10,DCAS-noClosure,10,400,1.0,1,124,-0.1463824045135428,0.0,408.2607588524806,67.70021920550889,0.1207140464813908,0.2277722277722277,1.3583684773793894,"{""rand1"": 68, ""pbest"": 75, ""closure"": 0, ""local"": 124, ""consensus"": 93}"
Annulus10,10,DCAS-noClosure,11,400,1.0,1,134,0.506228628270413,0.0,407.4974702044696,56.86515483685395,0.130494437049266,0.5548836784130902,1.3494471338292182,"{""rand1"": 74, ""pbest"": 63, ""closure"": 0, ""local"": 128, ""consensus"": 95}"
Annulus10,10,DCAS-noClosure,12,400,1.0,1,192,0.1689695256276284,0.0,411.3415335214386,65.65661402641034,0.1160797804183035,0.4334232902647225,1.3598247066478306,"{""rand1"": 61, ""pbest"": 83, ""closure"": 0, ""local"": 116, ""consensus"": 100}"
Annulus10,10,DCAS-noClosure,13,400,1.0,1,97,0.0105422840253437,0.0,408.69261486526926,70.1046812493306,0.1215491514818982,0.3450630528891398,1.3372076847102914,"{""rand1"": 58, ""pbest"": 71, ""closure"": 0, ""local"": 132, ""consensus"": 99}"
Annulus10,10,DCAS-noClosure,14,400,1.0,1,92,-0.0336290104560384,0.0,415.9294007964709,54.82025819439797,0.1149132159835962,0.3435553073665596,1.3662463433416805,"{""rand1"": 74, ""pbest"": 78, ""closure"": 0, ""local"": 87, ""consensus"": 121}"
Annulus10,10,DCAS-noClosure,15,400,1.0,1,93,0.1437039735441403,0.0,407.7605932160329,62.33020229433131,0.1250216325957499,0.3593666333666333,1.3426487384441863,"{""rand1"": 54, ""pbest"": 81, ""closure"": 0, ""local"": 126, ""consensus"": 99}"
Annulus10,10,DCAS-noClosure,16,400,1.0,1,149,0.1381275812348276,0.0,408.8378854746042,64.65540409892166,0.1170825007705793,0.4514430641821946,1.3633399065413487,"{""rand1"": 69, ""pbest"": 77, ""closure"": 0, ""local"": 120, ""consensus"": 94}"
Annulus10,10,DCAS-noClosure,17,400,1.0,1,67,-0.0012182094620589,0.0,406.0065379020624,63.29410125941305,0.1227903023036683,0.4969595621769535,1.3484553555436674,"{""rand1"": 74, ""pbest"": 66, ""closure"": 0, ""local"": 132, ""consensus"": 88}"
Annulus10,10,DCAS-noClosure,18,400,1.0,1,69,-0.2723869601866256,0.0,410.6357239487097,71.54114464969275,0.1169389902400404,0.3692307692307692,1.357587004009834,"{""rand1"": 64, ""pbest"": 74, ""closure"": 0, ""local"": 114, ""consensus"": 108}"
Annulus10,10,DCAS-noClosure,19,400,1.0,1,138,0.2103606744463582,0.0,410.0296398862987,69.33436583257047,0.1203182913591304,0.2435875510798111,1.350048531028878,"{""rand1"": 52, ""pbest"": 91, ""closure"": 0, ""local"": 109, ""consensus"": 108}"
Annulus10,10,DCAS-noClosure,20,400,1.0,1,131,0.0004672580278078,0.0,406.0388879442632,69.54517351821073,0.1287084205559734,0.8354826546003018,1.348902138135386,"{""rand1"": 75, ""pbest"": 66, ""closure"": 0, ""local"": 132, ""consensus"": 87}"
Annulus10,10,DCAS-noClosure,21,400,1.0,1,94,0.0749701573583926,0.0,407.82993893465215,69.09305736154018,0.1169154514734923,0.2038318203535594,1.364614855701793,"{""rand1"": 68, ""pbest"": 80, ""closure"": 0, ""local"": 119, ""consensus"": 93}"
Annulus10,10,DCAS-noClosure,22,400,1.0,1,165,0.3095057066493893,0.0,405.50141629308746,72.52885783378504,0.1298907939315622,0.4630522248425062,1.3322662115505657,"{""rand1"": 62, ""pbest"": 71, ""closure"": 0, ""local"": 141, ""consensus"": 86}"
Annulus10,10,DCAS-noClosure,23,400,1.0,1,160,-0.0102496821632832,0.0,410.2298101087076,71.45068863647353,0.1103424133751411,0.2568952786344091,1.3739996211086585,"{""rand1"": 68, ""pbest"": 95, ""closure"": 0, ""local"": 91, ""consensus"": 106}"
Annulus10,10,DCAS-noClosure,24,400,1.0,1,127,0.1609152633548637,0.0,411.6834112459243,66.4297166424991,0.1208324887201776,0.2080596606458675,1.354397601035397,"{""rand1"": 65, ""pbest"": 70, ""closure"": 0, ""local"": 114, ""consensus"": 111}"
Annulus10,10,DCAS-noClosure,25,400,1.0,1,120,-0.055028455275345,0.0,414.8464171070564,69.21816570587998,0.126328538896855,0.3533186813186813,1.3305753557882705,"{""rand1"": 60, ""pbest"": 61, ""closure"": 0, ""local"": 113, ""consensus"": 126}"
Annulus10,10,DCAS-noClosure,26,400,1.0,1,92,0.1157350243310352,0.0,408.684533723159,61.02505333531076,0.1154563726373048,0.2391781593019983,1.3610271505856963,"{""rand1"": 62, ""pbest"": 82, ""closure"": 0, ""local"": 115, ""consensus"": 101}"
Annulus10,10,DCAS-noClosure,27,400,1.0,1,127,0.3549950917440009,0.0,404.4754219306657,63.20334796688603,0.1176216938153502,0.2628115743905218,1.3635164635669623,"{""rand1"": 64, ""pbest"": 87, ""closure"": 0, ""local"": 118, ""consensus"": 91}"
Annulus10,10,DCAS-noClosure,28,400,1.0,1,83,0.143935406133209,0.0,410.9216059253169,64.33307496908768,0.1181744291868559,0.1992857142857143,1.3542428915863034,"{""rand1"": 72, ""pbest"": 64, ""closure"": 0, ""local"": 119, ""consensus"": 105}"
Annulus10,10,DCAS-noClosure,29,400,1.0,1,84,0.2073475626156106,0.0,412.905359287717,61.18860880221749,0.1182895741837123,0.4890312432665373,1.3492411849491417,"{""rand1"": 62, ""pbest"": 70, ""closure"": 0, ""local"": 110, ""consensus"": 118}"
Annulus10,10,DCAS-stationary,0,400,1.0,1,143,0.1651153934803398,0.0,407.987543010316,71.92930343731675,0.1216716810569286,0.2395238095238095,1.4697543559547104,"{""rand1"": 28, ""pbest"": 35, ""closure"": 110, ""local"": 69, ""consensus"": 118}"
Annulus10,10,DCAS-stationary,1,400,1.0,1,125,0.2686898686667512,0.0,402.33366094790057,73.44799972027893,0.1188771100415338,0.2026007326007325,1.4823202372216893,"{""rand1"": 23, ""pbest"": 57, ""closure"": 125, ""local"": 58, ""consensus"": 97}"
Annulus10,10,DCAS-stationary,2,400,1.0,1,131,-0.1171735742848051,0.0,418.0758102338976,87.4159170678954,0.1252272311781668,0.5191341991341991,1.346248919833657,"{""rand1"": 19, ""pbest"": 23, ""closure"": 89, ""local"": 66, ""consensus"": 163}"
Annulus10,10,DCAS-stationary,3,400,1.0,1,116,-0.1164298040085878,0.0,399.0421558890162,72.96611162822481,0.0877934422923978,0.1285714285714285,1.5241577245568894,"{""rand1"": 41, ""pbest"": 35, ""closure"": 96, ""local"": 105, ""consensus"": 83}"
