dim,dcas,baseline,n,A12,mean_delta_rank,p,holm_p
100,DCAS-DE,JADE-NCV,20,1.0,-2.65,2.1297134944614608e-05,8.518853977845843e-05
100,DCAS-PSO,PSO,20,1.0,-1.35,2.1297134944614608e-05,8.518853977845843e-05
500,DCAS-DE,JADE-NCV,20,1.0,-1.95,2.498713302915108e-05,8.518853977845843e-05
500,DCAS-PSO,PSO,20,1.0,-2.05,2.498713302915108e-05,8.518853977845843e-05
1000,DCAS-DE,JADE-NCV,20,1.0,-1.95,1.1544176856338215e-05,6.926506113802929e-05
1000,DCAS-PSO,PSO,20,1.0,-2.05,1.1544176856338215e-05,6.926506113802929e-05
