method,mean_rank
UCB-Success,3.513888888888889
DCAS-stationary,3.65
DCAS,3.672222222222222
UCB-Violation,3.9277777777777776
DCAS-noClosure,3.977777777777778
UCB-Objective,4.122222222222222
JADE-NCV,6.791666666666667
DE-EPS,7.933333333333334
DE-NCV,8.366666666666667
DE-PEN,9.044444444444444
