problem,allocation_sd,rcd,advantage_over_JADE
Annulus10,0.048160248684615055,0.26826088043363583,3.8333333333333335
ChainConstraint30,0.07726647052625782,0.5664730204400255,3.1
G06,0.14245225145718945,0.21371957635802585,2.2
G08,0.04476788943970216,0.21192379159804114,3.3666666666666667
G11,0.04022844665989938,0.5838978034869505,1.4666666666666666
MultiShell12,0.04384834923544389,0.13883904983904982,2.933333333333333
NarrowCorridor12,0.04561372770239662,0.7262119095709615,3.3
RotatedBox10,0.07091919262801356,0.3562671303766594,3.566666666666667
RotatedEllipsoid20,0.05479635238064352,0.392472528543083,3.466666666666667
SparseFeasible20,0.09054438549097488,0.3463724625969148,3.533333333333333
TwoBasin8,0.0498723777139319,0.233006754014142,3.533333333333333
WeldedBeam,0.05238094206031476,0.048476190476190464,3.1333333333333333
