dcas,baseline,n_blocks,mean_delta_rank,A12,p
DCAS-DE,JADE-NCV,240,-1.8229166666666667,0.8416666666666667,1.439923377742948e-27
DCAS-CMA,CMA-ES,240,-0.51875,0.5208333333333334,0.007263565706788279
DCAS-PSO,PSO,240,-0.12916666666666668,0.5583333333333333,0.1648755324823819
