dcas,baseline,wins,losses,ties,A12_direct,sign_p,holm_p
DCAS-DE,JADE-NCV,202,38,0,0.8416666666666667,1.6885870241723934e-28,5.06576107251718e-28
DCAS-CMA,CMA-ES,125,115,0,0.5208333333333334,0.2806833693467679,0.2806833693467679
DCAS-PSO,PSO,134,106,0,0.5583333333333333,0.040572704580080804,0.08114540916016161
