method,mean_rank,success,median_eff,median_runtime
DCAS-DE,2.533333333333333,0.9583333333333334,58.5,0.174853527999403
DCAS-PSO,3.075,0.8875,49.0,0.17769969300024963
PSO,3.2041666666666666,0.8791666666666667,49.0,0.01674069749969925
DCAS-CMA,3.65625,0.9583333333333334,41.0,0.1696834774993476
CMA-ES,4.175,0.7958333333333333,109.5,0.01928143399982215
JADE-NCV,4.35625,0.8166666666666667,110.0,0.03383002400005345
