comparator,mean_delta_rank,A12,p,holm_p
DE-PEN,-5.372222222222222,0.9472222222222222,1.611495501456667e-57,1.4503459513110003e-56
DE-NCV,-4.694444444444445,0.9333333333333333,1.0903579033331624e-54,8.722863226665299e-54
DE-EPS,-4.261111111111111,0.9444444444444444,4.528737926919791e-53,3.170116548843854e-52
JADE-NCV,-3.1194444444444445,0.9138888888888889,1.6436822975332452e-47,9.862093785199471e-47
UCB-Objective,-0.45,0.5583333333333333,0.0035561781069897032,0.017780890534948517
DCAS-noClosure,-0.3055555555555556,0.5777777777777777,0.010947703191962999,0.043790812767851996
UCB-Violation,-0.25555555555555554,0.5,0.08596646855987156,0.25789940567961467
DCAS-stationary,0.022222222222222223,0.48333333333333334,0.6347681237346128,1.0
UCB-Success,0.15833333333333333,0.46944444444444444,0.8929481818685054,1.0
